scopeKind	name	qualifiedName	nestingDepth	parentScopeLinkHash	pyModuleLinkHash	ownerKind	ownerHash	isNested	isOptimized	hasChildren	symtableId	usesWildcardImport	isGenerator	isCoroutine	declaresGlobal	declaresNonlocal	filePath	startLine	startColumn	endLine	endColumn	scopeOrdinal	serviceVersionLinkHash	pyScopeUniqueHash
FUNCTION	__init__	core.base.Registry.__init__	2	PY_SCOPE_04e7d16bbc63d31d0caca7089900b4dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_29d34dde40fdbda38d1b7a232f746c70	false	true	false	9	false	false	false	false	false	core/base.py	27	4	28	23	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_7e913642935d739f9d5960a079855c85
FUNCTION	store	core.base.Registry.store	2	PY_SCOPE_04e7d16bbc63d31d0caca7089900b4dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_fb122cdd681d1886b28ba6a5367477ce	false	true	false	10	false	false	false	false	false	core/base.py	30	4	32	19	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_bdc4ac8c7b82a4f46bb55f07816f51ed
FUNCTION	first	core.base.Registry.first	2	PY_SCOPE_04e7d16bbc63d31d0caca7089900b4dd	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_7c5ffd94d87c21c27acde611d6418fe4	false	true	false	11	false	false	false	false	false	core/base.py	34	4	35	28	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_4d05adea79b3e9d4c2a24fac1cd24639
FUNCTION	make_node	core.base.make_node	1	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_7d2d6b1fcbe9f06e17ea6be3ea44f4cd	false	true	false	12	false	false	false	false	false	core/base.py	38	0	40	21	3	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_dbb631c5ec7046decc74f319dd5878c6
FUNCTION	make_registry	core.base.make_registry	1	PY_SCOPE_3c613edd29e908501e094287155dad00	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df	METHOD	PY_METHOD_de5e770015d0865e8824f96caa557604	false	true	false	13	false	false	false	false	false	core/base.py	43	0	44	21	4	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_976056fc81d098e7510456c8707358f0
MODULE	top	core.factory	0		PY_MODULE_6f13b60b719c68df32c58e7656b90f51	MODULE	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	false	false	true	0	false	false	false	false	false	core/factory.py	0	0	30	0	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_1a66b4df14c55812e96bca2cde6ce7be
CLASS	Builder	core.factory.Builder	1	PY_SCOPE_1a66b4df14c55812e96bca2cde6ce7be	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	TYPE	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	false	false	true	1	false	false	false	false	false	core/factory.py	5	0	23	32	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_872cde7e4bd17ab3b8bc1e061ffb847c
FUNCTION	of	core.factory.Builder.of	2	PY_SCOPE_872cde7e4bd17ab3b8bc1e061ffb847c	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	METHOD	PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc	false	true	false	2	false	false	false	false	false	core/factory.py	9	4	11	24	0	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_e95f427b0f6858c36213854312ff6528
FUNCTION	make_default	core.factory.Builder.make_default	2	PY_SCOPE_872cde7e4bd17ab3b8bc1e061ffb847c	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	METHOD	PY_METHOD_735371219289ab8d6688fce54c3902f5	false	true	false	3	false	false	false	false	false	core/factory.py	14	4	15	32	1	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_02db559850d7bfcf6bda8c2a9d135e95
FUNCTION	__init__	core.factory.Builder.__init__	2	PY_SCOPE_872cde7e4bd17ab3b8bc1e061ffb847c	PY_MODULE_6f13b60b719c68df32c58e7656b90f51	METHOD	PY_METHOD_ddf199e958543cb835d700a3097fe194	false	true	false	4	false	false	false	false	false	core/factory.py	17	4	19	30	2	SERVICE_VERSION_00000000000000000000000000000000	PY_SCOPE_970188142bdbee7518a61e5cddc287e2
