kind	order	filePath	startLine	endLine	startColumn	endColumn	nestingDepth	pyTypeLinkHash	methodOwnerHash	parentContainerHash	tryStatementHash	resourceCount	caughtExceptionTypes	ownerTypeName	ownerQualifiedName	ownerMethodName	pyScopeLinkHash	pyModuleLinkHash	conditionExpressionLinkHash	conditionText	exceptTargetName	hasElseClause	isModuleLevel	isTypeCheckingGuard	serviceVersionLinkHash	pyBlockUniqueHash
FUNCTION_BODY	12	core/base.py	39	40	4	21	1		PY_METHOD_7d2d6b1fcbe9f06e17ea6be3ea44f4cd	PY_BLOCK_fe2d79b10876162eef445d10a879852b					core.base	make_node	PY_SCOPE_dbb631c5ec7046decc74f319dd5878c6	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_fb9c6e275c1d33a358b5aff7f553ea40
FUNCTION_BODY	13	core/base.py	44	44	4	21	1		PY_METHOD_de5e770015d0865e8824f96caa557604	PY_BLOCK_fe2d79b10876162eef445d10a879852b					core.base	make_registry	PY_SCOPE_976056fc81d098e7510456c8707358f0	PY_MODULE_d28fbce0a513abfa51b88ad6db6d82df				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_d8159cd8ac900b53d487b725c483db33
MODULE_BODY	0	core/factory.py	1	30	0	0	0		PY_METHOD_ab5cc7a30b6043be518aff1866d5e976	PY_MODULE_6f13b60b719c68df32c58e7656b90f51					core.factory	<module>	PY_SCOPE_1a66b4df14c55812e96bca2cde6ce7be	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	true	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_fed79541de04c0b6c4f0273f4e4d2fb6
CLASS_BODY	1	core/factory.py	6	23	4	32	1	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_METHOD_4761617a13024d7e5d2f4cddd8c63564	PY_BLOCK_fed79541de04c0b6c4f0273f4e4d2fb6				Builder	core.factory.Builder	<classbody>	PY_SCOPE_872cde7e4bd17ab3b8bc1e061ffb847c	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_07d3ea1da3479ffe2c640c0f3380d1d1
FUNCTION_BODY	2	core/factory.py	11	11	8	24	2	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_METHOD_008a95de6c3dc8d4be3d2f07363743dc	PY_BLOCK_07d3ea1da3479ffe2c640c0f3380d1d1				Builder	core.factory.Builder	of	PY_SCOPE_e95f427b0f6858c36213854312ff6528	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_aab0786d4750ae3ffb4c975dc1a601ea
FUNCTION_BODY	3	core/factory.py	15	15	8	32	2	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_METHOD_735371219289ab8d6688fce54c3902f5	PY_BLOCK_07d3ea1da3479ffe2c640c0f3380d1d1				Builder	core.factory.Builder	make_default	PY_SCOPE_02db559850d7bfcf6bda8c2a9d135e95	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_9afff510360106a35f2111f0812c11b9
FUNCTION_BODY	4	core/factory.py	18	19	8	30	2	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_METHOD_ddf199e958543cb835d700a3097fe194	PY_BLOCK_07d3ea1da3479ffe2c640c0f3380d1d1				Builder	core.factory.Builder	__init__	PY_SCOPE_970188142bdbee7518a61e5cddc287e2	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_979618dcc5d7376aad2490ed35b64e4f
FUNCTION_BODY	5	core/factory.py	23	23	8	32	2	PY_TYPE_d5e01e41b5870f04c772d5d26d0912a3	PY_METHOD_4e91b430ca727895aa1cd3776fc03e54	PY_BLOCK_07d3ea1da3479ffe2c640c0f3380d1d1				Builder	core.factory.Builder	build	PY_SCOPE_d4a546f62e9bdfe27fe752c3a360636a	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_a6729476ecdece5743792dad77b1d22d
CLASS_BODY	6	core/factory.py	27	29	4	47	1	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	PY_METHOD_862d2b5b9ea8efef837ee3c61537a622	PY_BLOCK_fed79541de04c0b6c4f0273f4e4d2fb6				TypedBuilder	core.factory.TypedBuilder	<classbody>	PY_SCOPE_606e6a856ac765bd78cfdfdc6f5c1df8	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_9277efaf31c6ef9c195965473589962a
FUNCTION_BODY	7	core/factory.py	29	29	8	47	2	PY_TYPE_0e60d2b02fb0b1a9548951707ae23860	PY_METHOD_5a09ae9b62212b370ffe2ccd419cd026	PY_BLOCK_9277efaf31c6ef9c195965473589962a				TypedBuilder	core.factory.TypedBuilder	build	PY_SCOPE_344696e07e745ee4ea6927e6867287f5	PY_MODULE_6f13b60b719c68df32c58e7656b90f51				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_6b8d72d253e8565aa4bfe3ac4cf9c128
MODULE_BODY	0	services/__init__.py	1	1	0	0	0		PY_METHOD_9dedf4dcb1b93993e7b0923a4b22c76f	PY_MODULE_79f94e1feca2b14402365d6b037aa2b0					services	<module>	PY_SCOPE_6b50777482245a1a4d12a9c4e1e842f9	PY_MODULE_79f94e1feca2b14402365d6b037aa2b0				false	true	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_527b2c5010b4202ad5ef99ba5538888e
MODULE_BODY	0	services/consumer.py	1	50	0	0	0		PY_METHOD_d8fafed7f87f116a2e1781226cd15529	PY_MODULE_774333793bea69d5a3272a3a6a444e6f					services.consumer	<module>	PY_SCOPE_0bf43928df02f343fb410edc300b2bbf	PY_MODULE_774333793bea69d5a3272a3a6a444e6f				false	true	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_3fca2c8805cf2fa273943c7b00b5f433
FUNCTION_BODY	1	services/consumer.py	11	12	4	23	1		PY_METHOD_a2047fc142658e71bc0922b866956fee	PY_BLOCK_3fca2c8805cf2fa273943c7b00b5f433					services.consumer	local_from_constructor	PY_SCOPE_129c3ab2026fb54aa84df8615a07722c	PY_MODULE_774333793bea69d5a3272a3a6a444e6f				false	false	false	SERVICE_VERSION_00000000000000000000000000000000	PY_BLOCK_528e624cd2f92a0ff5a3292803d80b3a
