importKind	importedPath	packageOrTypeName	simpleName	filePath	lineNumber	isStatic	isWildcard	isModuleImport	relativeLevel	originalName	aliasName	resolvedModuleLinkHash	resolvedTargetKind	resolvedTargetHash	isExternalTarget	distributionName	isTypeCheckingOnly	isConditional	pyScopeLinkHash	pyModuleLinkHash	bindingLinkHash	serviceVersionLinkHash	pyImportUniqueHash
FROM_MEMBER	pkg.models.Account	pkg.models	Account	pkg/__init__.py	8	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_b73c03b86ab5928df2fe75561c200d60	PY_MODULE_f6cea4e9d38d07a6a42f1b08a125bac4	PY_BINDING_266b2eeefaab79c65e88dd2d9883cea1	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_b1a8ad548620156e57eac0febbcc8f89
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	pkg/__init__.py	8	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_b73c03b86ab5928df2fe75561c200d60	PY_MODULE_f6cea4e9d38d07a6a42f1b08a125bac4	PY_BINDING_f76a3b8bbef1c1131541bd5458e97677	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_d75a10478adf79d972217004accd14e3
FROM_MEMBER	pkg.repository.find_account	pkg.repository	find_account	pkg/__init__.py	9	false	false	false	0	find_account		PY_MODULE_d3b70aaf7bb86c1af4aacf97de85878b	FUNCTION	PY_METHOD_499d987a935671c184ee14ca08435562	false		false	false	PY_SCOPE_b73c03b86ab5928df2fe75561c200d60	PY_MODULE_f6cea4e9d38d07a6a42f1b08a125bac4	PY_BINDING_9020a65cae5211f42efbc7c624a676cc	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_6ce9e8b11ee0d14b72beb3c99ccf542d
FROM_MEMBER	pkg.models.Account	pkg.models	Account	pkg/repository.py	3	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_b0dc193066d1e98655f560bf296da410	PY_MODULE_d3b70aaf7bb86c1af4aacf97de85878b	PY_BINDING_037bc1784c5f5b3126ac52ef161be457	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_2ff225232632a2fef237953828a2f5ff
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	pkg/repository.py	18	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_fb4cc01be5576fc19e7b2cc5221cb8ac	PY_MODULE_d3b70aaf7bb86c1af4aacf97de85878b	PY_BINDING_9715ca1defc4146b5a9ca15c0b217c2e	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_3d38ef88a5552119101d167fc952a455
FROM_MEMBER	pkg.models.Account	pkg.models	Account	polymorphism_reduction.py	13	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_f25a2ac6417c803d75b08559c6f07233	PY_MODULE_ce17961cb9b5fed9cec337ad16f99cf3	PY_BINDING_bf8895198504d72a4992eb677b7bb5aa	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_26f481caf427794e859752cb858d6844
FROM_MEMBER	pkg.models.Account	pkg.models	Account	return_flow_and_chaining.py	9	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_9d4b3eb0c9133f90145825beee9bf943	PY_MODULE_9c9f1480da13fb17657d9fde537a37e0	PY_BINDING_c9b4a75cdd03c3edbd3ee1dfb57a89f4	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_89fa49453fbb1998d9ca02b6e9ea93a2
FROM_MEMBER	pkg.models.Ledger	pkg.models	Ledger	return_flow_and_chaining.py	9	false	false	false	0	Ledger		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_65c006b7dc1da8d5b431a90353733207	false		false	false	PY_SCOPE_9d4b3eb0c9133f90145825beee9bf943	PY_MODULE_9c9f1480da13fb17657d9fde537a37e0	PY_BINDING_6016aa9a6c1e42ad3e3944df619be1c9	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_c9c88d2105d77942c06b5a1e13f7c775
FROM_MEMBER	pkg.repository.find_account	pkg.repository	find_account	return_flow_and_chaining.py	84	false	false	false	0	find_account		PY_MODULE_d3b70aaf7bb86c1af4aacf97de85878b	FUNCTION	PY_METHOD_499d987a935671c184ee14ca08435562	false		false	false	PY_SCOPE_9ed02449e6d589f75efde1866aa906ce	PY_MODULE_9c9f1480da13fb17657d9fde537a37e0	PY_BINDING_f5388f345fa199159da4a16c2f65ef12	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_eedabf6f300c34a2d7353bd1e2967754
FROM_MEMBER	pkg.models.Account	pkg.models	Account	self_and_attribute_chains.py	11	false	false	false	0	Account		PY_MODULE_8cbfa051f91ccce50d30f3a888c9a1c4	TYPE	PY_TYPE_160aee5ca584e3817b8783b4e148e2a8	false		false	false	PY_SCOPE_d70ec0da77de71380df4cd694bdfd27f	PY_MODULE_47972cfb252e2f1acae1bbbe05a0ad79	PY_BINDING_97ce76e9c8b910f02bfa8d58344659a6	SERVICE_VERSION_00000000000000000000000000000000	PY_IMPORT_0e77845b3a6b0b5b1bad713647a71b8c
